,UMD,USM,National
Fall 2020,9834,38994,
Fall 2019,10232,38929,
Fall 2018,10438,41297,
Fall 2017,10653,41934,
Fall 2016,10611,41598,
Fall 2015,10697,41664,
Fall 2014,10554,41705,
Fall 2013,10614,42218,
Fall 2012,10710,43929,
Fall 2011,10805,44516,
